Date,Payee,Category,Memo,Outflow,Inflow
30/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-30,110.09,
30/01/2014,FOOD INC,Daglige utgifter:Mat og drikke,Visa *0000 28.01 USD 30.06 FOOD INC Kurs: 6.2944 12345678900 2014-01-30,189.21,
29/01/2014,ICA ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-29,36.90,
28/01/2014,COOP,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-28,51.20,
28/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-28,134.47,
28/01/2014,BOOTS APOTEK,Daglige utgifter:Ting til huset,Varekjøp 12345678900 2014-01-28,356.60,
27/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-27,28.80,
27/01/2014,ZOOSENTER,Daglige utgifter:Dyrehold,Varekjøp 12345678900 2014-01-27,171.00,
27/01/2014,CLAS OHLSON,Daglige utgifter:Ting til huset,Varekjøp 12345678900 2014-01-27,195.67,
27/01/2014,ICA ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-27,646.86,
27/01/2014,JYSK BTK,Daglige utgifter:Ting til huset,Varekjøp 12345678900 2014-01-27,494.00,
27/01/2014,KIWI,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-27,381.29,
27/01/2014,DYREKLINIK,Daglige utgifter:Dyrehold,Varekjøp 12345678900 2014-01-27,120.00,
27/01/2014,KIWI ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-27,74.40,
27/01/2014,KIWI ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-27,76.30,
27/01/2014,FOOD INC,Daglige utgifter:Mat og drikke,Visa *0000 23.01 USD 31.49 FOOD INC Kurs: 6.2795 12345678900 2014-01-27,197.74,
24/01/2014,KIWI ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-24,127.90,
23/01/2014,SPAR MAT,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-23,119.30,
23/01/2014,MENY,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-23,107.70,
22/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-22,59.90,
21/01/2014,EKSOTISK MAT,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-21,96.00,
21/01/2014,4225 ICA ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-21,314.19,
20/01/2014,FOOD INC,Daglige utgifter:Mat og drikke,Visa *0000 16.01 USD 17.72 FOOD INC Kurs: 6.2794 12345678900 2014-01-20,111.27,
20/01/2014,NARVESEN,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-20,101.00,
17/01/2014,SPAR MAT,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-17,128.98,
17/01/2014,ICA ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-17,129.70,
17/01/2014,ICA ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-17,75.50,
17/01/2014,FOOD INC,Daglige utgifter:Mat og drikke,Visa *0000 15.01 USD 24.33 FOOD INC Kurs: 6.2421 12345678900 2014-01-17,151.87,
15/01/2014,KIWI ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-15,352.21,
13/01/2014,MENY,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-13,356.75,
13/01/2014,STATOIL,Daglige utgifter:Bensin og bil,Varekjøp 12345678900 2014-01-13,605.10,
13/01/2014,KIWI ,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-13,193.78,
09/01/2014,KIWI,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-09,45.91,
07/01/2014,EKSOTISK MAT,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-07,108.00,
07/01/2014,KIWI,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-07,267.15,
07/01/2014,COOP STORMARKED,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-07,22.61,
06/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-06,197.85,
06/01/2014,COOP EXTRA,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-06,195.89,
06/01/2014,NILLE,Daglige utgifter:Ting til huset,Varekjøp 12345678900 2014-01-06,469.80,
06/01/2014,ELKJØP,Daglige utgifter:Ting til huset,Varekjøp 12345678900 2014-01-06,149.00,
06/01/2014,SPAR MAT,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-06,177.80,
06/01/2014,ICA Supermarked,Daglige utgifter:Mat og drikke,Varekjøp 12345678900 2014-01-06,291.75,
03/01/2014,WWW.NETFLIX.COM,MÃ¥nedlige utgifter:TV - Streaming,Visa *0000 31.12 NOK 79.00 WWW.NETFLIX.COM Kurs: 1.0000 12345678900 2014-01-03,79.00,
